image,magnification,condition
112 - 7d 3T3_10x.tiff,10x,
115 - 1d 3T3_10x.tiff,10x,
117 - 1d 3T3_10x.tiff,10x,
152 - 4d 3T3_10x.tiff,10x,
162 - 1d 3T3_10x.tiff,10x,
166 - 3d 3T3_10x.tiff,10x,
177 - 1d 3T3_10x.tiff,10x,
179 - 1d 3T3_10x.tiff,10x,
186 - 1d 3T3_10x.tiff,10x,
193 - 1d 3T3_10x.tiff,10x,
20 - 4d 3T3_10x.tiff,10x,
210 - 4d 3T3_4x.tiff,4x,
212 - 7d 3T3_4x.tiff,4x,
216 - 1d 3T3_4x.tiff,4x,
216 - 7d 3T3_4x.tiff,4x,
217 - 3d 3T3_4x.tiff,4x,
217 - 7d 3T3_4x.tiff,4x,
219 - 4d 3T3_4x.tiff,4x,
24 - 4d 3T3_10x.tiff,10x,
49 - 1d 3T3_10x.tiff,10x,
8 - 4d 3T3_10x.tiff,10x,
